Word,Engine Output,Lexicon Answer,Final Output,Match,Notes
এই আবিষ্কার বিজ্ঞানের জগতে নতুন দরজা খুলে দিয়েছে।,e - i - | - a - b - i - sh - k - a - r - | - b - i - g - g - y - a - n - e - r - | - j - o - g - t - e - | - n - O - t - u - n - | - d - o - r - j - a - | - kh - u - l - e - | - d - i - y - e - chh - e,e - i - | - a - b - i - sh - k - a - r - | - b - i - g - g - y - a - n - e - r - | - j - o - g - O - t - e - | - n - O - t - u - n - | - d - o - r - j - a - | - kh - u - l - e - | - d - i - y - e - chh - e,e - i - | - a - b - i - sh - k - a - r - | - b - i - g - g - y - a - n - e - r - | - j - o - g - O - t - e - | - n - O - t - u - n - | - d - o - r - j - a - | - kh - u - l - e - | - d - i - y - e - chh - e,❌,
মহাকর্ষ বলের কারণে জিনিস মাটিতে পড়ে।,m - o - h - a - k - o - r - sh - O - | - b - O - l - e - r - | - k - a - r - n - e - | - j - i - n - i - sh - | - m - a - T - i - t - e - | - p - O - r - e,m - o - h - a - k - o - r - sh - O - | - b - o - l - e - r - | - k - a - r - O - n - e - | - j - i - n - i - sh - | - m - a - T - i - t - e - | - p - o - r - e,m - o - h - a - k - o - r - sh - O - | - b - o - l - e - r - | - k - a - r - O - n - e - | - j - i - n - i - sh - | - m - a - T - i - t - e - | - p - o - r - e,❌,
আমি ভালো আছি,a - m - i - | - bh - a - l - O - | - a - chh - i,a - m - i - | - bh - a - l - O - | - a - chh - i,a - m - i - | - bh - a - l - O - | - a - chh - i,✅,
তুমি কেমন আছো,t - u - m - i - | - k - E - m - o - n - | - a - chh - O,t - u - m - i - | - k - E - m - o - n - | - a - chh - O,t - u - m - i - | - k - E - m - o - n - | - a - chh - O,✅,
সে বাড়ি যাচ্ছে,sh - e - | - b - a - r - i - | - j - a - ch - chh - e,sh - e - | - b - a - r - i - | - j - a - ch - chh - e,sh - e - | - b - a - r - i - | - j - a - ch - chh - e,✅,
মরা,m - o - r - a,m - o - r - a,m - o - r - a,✅,
ধরা,dh - o - r - a,dh - o - r - a,dh - o - r - a,✅,
পড়া,p - o - r - a,p - o - r - a,p - o - r - a,✅,
করা,k - o - r - a,k - o - r - a,k - o - r - a,✅,
বলতে,b - o - l - t - e,b - O - l - t - e,b - O - l - t - e,❌,
করতে,k - o - r - t - e,k - O - r - t - e,k - O - r - t - e,❌,
ধরতে,dh - o - r - t - e,dh - O - r - t - e,dh - O - r - t - e,❌,
প্রকল্প,pr - o - k - o - l - p - O,pr - O - k - O - l - p - O,pr - O - k - O - l - p - O,❌,
কর্মচারী,k - o - r - m - ch - a - r - i,k - o - r - m - O - ch - a - r - i,k - o - r - m - O - ch - a - r - i,❌,
খেলা,kh - E - l - a,kh - E - l - a,kh - E - l - a,✅,
এবং,e - b - ng,e - b - O - ng,e - b - O - ng,❌,
দেখা,d - E - kh - a,d - E - kh - a,d - E - kh - a,✅,
দেশ,d - e - sh,d - e - sh,d - e - sh,✅,
একতারা,e - k - t - a - r - a,E - k - t - a - r - a,E - k - t - a - r - a,❌,
কেমন,k - E - m - o - n,k - E - m - o - n,k - E - m - o - n,✅,
বেতন,b - e - t - o - n,b - e - t - o - n,b - e - t - o - n,✅,
মশা,m - o - sh - a,m - o - sh - a,m - o - sh - a,✅,
মাছি,m - a - chh - i,m - a - chh - i,m - a - chh - i,✅,
পিঁপড়া,p - i~ - p - r - a,p - i~ - p - r - a,p - i~ - p - r - a,✅,
প্রজাপতি,pr - o - j - a - p - t - i,pr - O - j - a - p - O - t - i,pr - O - j - a - p - O - t - i,❌,
মৌমাছি,m - ou - m - a - chh - i,m - ou - m - a - chh - i,m - ou - m - a - chh - i,✅,
তেলাপোকা,t - e - l - a - p - O - k - a,t - e - l - a - p - O - k - a,t - e - l - a - p - O - k - a,✅,
জোনাকি,j - O - n - a - k - i,j - O - n - a - k - i,j - O - n - a - k - i,✅,
শামুক,sh - a - m - u - k,sh - a - m - u - k,sh - a - m - u - k,✅,
কেঁচো,k - E~ - ch - O,k - e~ - ch - O,k - e~ - ch - O,❌,
মাকড়সা,m - a - k - r - sh - a,m - a - k - O - r - sh - a,m - a - k - O - r - sh - a,❌,
চাষ,ch - a - sh,ch - a - sh,ch - a - sh,✅,
কৃষি,k - ri - sh - i,k - ri - sh - i,k - ri - sh - i,✅,
ফসল,ph - o - sh - O - l,ph - o - sh - O - l,ph - o - sh - O - l,✅,
ধান,dh - a - n,dh - a - n,dh - a - n,✅,
গম,g - o - m,g - o - m,g - o - m,✅,
লাঙল,l - a - ng - O - l,l - a - ng - O - l,l - a - ng - O - l,✅,
সেচ,sh - e - ch,sh - e - ch,sh - e - ch,✅,
সার,sh - a - r,sh - a - r,sh - a - r,✅,
বীজ,b - i - j,b - i - j,b - i - j,✅,
খামার,kh - a - m - a - r,kh - a - m - a - r,kh - a - m - a - r,✅,
হাতুড়ি,h - a - t - u - r - i,h - a - t - u - r - i,h - a - t - u - r - i,✅,
করাত,k - o - r - a - t,k - o - r - a - t,k - o - r - a - t,✅,
পেরেক,p - e - r - e - k,p - e - r - e - k,p - e - r - e - k,✅,
সুই,sh - u - i,sh - u - i,sh - u - i,✅,
সুতা,sh - u - t - a,sh - u - t - a,sh - u - t - a,✅,
কাঁচি,k - a~ - ch - i,k - a~ - ch - i,k - a~ - ch - i,✅,
দড়ি,d - O - r - i,d - O - r - i,d - O - r - i,✅,
বালতি,b - a - l - t - i,b - a - l - t - i,b - a - l - t - i,✅,
ঝাড়ু,jh - a - r - u,jh - a - r - u,jh - a - r - u,✅,
তোয়ালে,t - O - y - a - l - e,t - O - y - a - l - e,t - O - y - a - l - e,✅,
সাবান,sh - a - b - a - n,sh - a - b - a - n,sh - a - b - a - n,✅,
শ্যাম্পু,sh - A - mp - u,sh - A - mp - u,sh - A - mp - u,✅,
চিরুনি,ch - i - r - u - n - i,ch - i - r - u - n - i,ch - i - r - u - n - i,✅,
ব্রাশ,br - a - sh,br - a - sh,br - a - sh,✅,
আতর,a - t - o - r,a - t - o - r,a - t - o - r,✅,
পুকুর,p - u - k - u - r,p - u - k - u - r,p - u - k - u - r,✅,
স্রোত,s - r - O - t,s - r - O - t,s - r - O - t,✅,
ইলিশ,i - l - i - sh,i - l - i - sh,i - l - i - sh,✅,
কাঁকড়া,k - a~ - k - r - a,k - a~ - k - r - a,k - a~ - k - r - a,✅,
চিংড়ি,ch - i - ng - r - i,ch - i - ng - r - i,ch - i - ng - r - i,✅,
কচ্ছপ,k - o - ch - chh - o - p,k - o - ch - chh - O - p,k - o - ch - chh - O - p,❌,
ব্যাঙ,b - A - ng,b - A - ng,b - A - ng,✅,
ভিতরে,bh - i - t - r - e,bh - i - t - O - r - e,bh - i - t - O - r - e,❌,
বাইরে,b - a - i - r - e,b - a - i - r - e,b - a - i - r - e,✅,
মাঝে,m - a - jh - e,m - a - jh - e,m - a - jh - e,✅,
পাশে,p - a - sh - e,p - a - sh - e,p - a - sh - e,✅,
কাছে,k - a - chh - e,k - a - chh - e,k - a - chh - e,✅,
দূরে,d - u - r - e,d - u - r - e,d - u - r - e,✅,
আগে,a - g - e,a - g - e,a - g - e,✅,
পরে,p - O - r - e,p - o - r - e,p - o - r - e,❌,
কালি,k - a - l - i,k - a - l - i,k - a - l - i,✅,
ফাইল,ph - a - i - l,ph - a - i - l,ph - a - i - l,✅,
প্রিন্টার,pr - i - n - T - a - r,pr - i - n - T - a - r,pr - i - n - T - a - r,✅,
স্ক্যানার,sh - k - A - n - a - r,s - k - A - n - a - r,s - k - A - n - a - r,❌,
আরে,a - r - e,a - r - e,a - r - e,✅,
বাহ,b - a - h,b - a - h,b - a - h,✅,
আহা,a - h - a,a - h - a,a - h - a,✅,
উফ,u - ph,u - ph,u - ph,✅,
ছি,chh - i,chh - i,chh - i,✅,
আচ্ছা,a - ch - chh - a,a - ch - chh - a,a - ch - chh - a,✅,
হায়,h - a - y,h - a - y,h - a - y,✅,
গাছ,g - a - chh,g - a - chh,g - a - chh,✅,
পাতা,p - a - t - a,p - a - t - a,p - a - t - a,✅,
শিকড়,sh - i - k - o - r,sh - i - k - o - r,sh - i - k - o - r,✅,
ফুল,ph - u - l,ph - u - l,ph - u - l,✅,
কুঁড়ি,k - u~ - r - i,k - u~ - r - i,k - u~ - r - i,✅,
বাগান,b - a - g - a - n,b - a - g - a - n,b - a - g - a - n,✅,
ভ্যান,bh - A - n,bh - A - n,bh - A - n,✅,
অটোরিকশা,o - T - O - r - i - k - sh - a,o - T - O - r - i - k - sh - a,o - T - O - r - i - k - sh - a,✅,
লঞ্চ,l - o - nch - O,l - o - nch,l - o - nch,❌,
ফেরি,ph - e - r - i,ph - e - r - i,ph - e - r - i,✅,
জাহাজ,j - a - h - a - j,j - a - h - a - j,j - a - h - a - j,✅,
ট্রাক,T - r - a - k,T - r - a - k,T - r - a - k,✅,
তাঁতি,t - a~ - t - i,t - a~ - t - i,t - a~ - t - i,✅,
স্থপতি,sth - o - p - t - i,sth - o - p - O - t - i,sth - o - p - O - t - i,❌,
ওয়েটার,O - y - e - T - a - r,O - y - e - T - a - r,O - y - e - T - a - r,✅,
মুদ্রা,m - u - d - r - a,m - u - d - r - a,m - u - d - r - a,✅,
নগদ,n - o - g - o - d,n - o - g - O - d,n - o - g - O - d,❌,
বাকি,b - a - k - i,b - a - k - i,b - a - k - i,✅,
খুচরা,kh - u - ch - r - a,kh - u - ch - r - a,kh - u - ch - r - a,✅,
দোকানদার,d - O - k - a - n - d - a - r,d - O - k - a - n - d - a - r,d - O - k - a - n - d - a - r,✅,
হাড়,h - a - r,h - a - r,h - a - r,✅,
মাংসপেশি,m - a - ng - sh - p - e - sh - i,m - a - ng - sh - O - p - e - sh - i,m - a - ng - sh - O - p - e - sh - i,❌,
শিরা,sh - i - r - a,sh - i - r - a,sh - i - r - a,✅,
মস্তিষ্ক,m - O - st - i - sh - k - O,m - O - st - i - sh - k - O,m - O - st - i - sh - k - O,✅,
ফুসফুস,ph - u - sh - ph - u - sh,ph - u - sh - ph - u - sh,ph - u - sh - ph - u - sh,✅,
কিডনি,k - i - D - n - i,k - i - D - n - i,k - i - D - n - i,✅,
কুয়াশা,k - u - y - a - sh - a,k - u - y - a - sh - a,k - u - y - a - sh - a,✅,
শিলাবৃষ্টি,sh - i - l - a - b - ri - shT - i,sh - i - l - a - b - ri - shT - i,sh - i - l - a - b - ri - shT - i,✅,
আর্দ্রতা,a - r - d - r - t - a,a - d - r - O - t - a,a - d - r - O - t - a,❌,
শেখা,sh - E - kh - a,sh - e - kh - a,sh - e - kh - a,❌,
শেখানো,sh - e - kh - a - n - O,sh - e - kh - a - n - O,sh - e - kh - a - n - O,✅,
চেষ্টা করা,ch - E - shT - a - | - k - o - r - a,ch - e - shT - a - | - k - o - r - a,ch - e - shT - a - | - k - o - r - a,❌,
হারানো,h - a - r - a - n - O,h - a - r - a - n - O,h - a - r - a - n - O,✅,
খোঁজা,kh - O~ - j - a,kh - O~ - j - a,kh - O~ - j - a,✅,
লুকানো,l - u - k - a - n - O,l - u - k - a - n - O,l - u - k - a - n - O,✅,
ধরা পড়া,dh - o - r - a - | - p - o - r - a,dh - o - r - a - | - p - o - r - a,dh - o - r - a - | - p - o - r - a,✅,
পালানো,p - a - l - a - n - O,p - a - l - a - n - O,p - a - l - a - n - O,✅,
চিৎকার করা,ch - i - t - k - a - r - | - k - o - r - a,ch - i - t - k - a - r - | - k - o - r - a,ch - i - t - k - a - r - | - k - o - r - a,✅,
হাসানো,h - a - sh - a - n - O,h - a - sh - a - n - O,h - a - sh - a - n - O,✅,
কাঁদানো,k - a~ - d - a - n - O,k - a~ - d - a - n - O,k - a~ - d - a - n - O,✅,
ফেলা,ph - E - l - a,ph - E - l - a,ph - E - l - a,✅,
তোলা,t - O - l - a,t - O - l - a,t - O - l - a,✅,
ভাঙা,bh - a - ng - a,bh - a - ng - a,bh - a - ng - a,✅,
জোড়া লাগানো,j - O - r - a - | - l - a - g - a - n - O,j - O - r - a - | - l - a - g - a - n - O,j - O - r - a - | - l - a - g - a - n - O,✅,
পাতলা,p - a - t - l - a,p - a - t - l - a,p - a - t - l - a,✅,
মসৃণ,m - o - sh - ri - n,m - o - s - ri - n,m - o - s - ri - n,❌,
খসখসে,kh - o - sh - kh - sh - e,kh - o - sh - kh - o - sh - e,kh - o - sh - kh - o - sh - e,❌,
ম্লান,m - l - a - n,m - l - a - n,m - l - a - n,✅,
স্বচ্ছ,sh - o - ch - chh - O,sh - o - ch - chh - O,sh - o - ch - chh - O,✅,
ঘন,gh - o - n,gh - o - n - O,gh - o - n - O,❌,
তীক্ষ্ণ,t - i - k - h - n - O,t - i - k - h - n - O,t - i - k - h - n - O,✅,
ভোঁতা,bh - O~ - t - a,bh - O~ - t - a,bh - O~ - t - a,✅,
হলুদ গুঁড়া,h - O - l - u - d - | - g - u~ - r - a,h - O - l - u - d - | - g - u~ - r - a,h - O - l - u - d - | - g - u~ - r - a,✅,
মরিচ,m - O - r - i - ch,m - O - r - i - ch,m - O - r - i - ch,✅,
জিরা,j - i - r - a,j - i - r - a,j - i - r - a,✅,
ধনে,dh - O - n - e,dh - O - n - e,dh - O - n - e,✅,
এলাচ,e - l - a - ch,e - l - a - ch,e - l - a - ch,✅,
দারুচিনি,d - a - r - u - ch - i - n - i,d - a - r - u - ch - i - n - i,d - a - r - u - ch - i - n - i,✅,
লবঙ্গ,l - o - b - o - ngg - O,l - o - b - O - ngg - O,l - o - b - O - ngg - O,❌,
তেজপাতা,t - e - j - p - a - t - a,t - e - j - p - a - t - a,t - e - j - p - a - t - a,✅,
আদা রসুন,a - d - a - | - r - O - sh - u - n,a - d - a - | - r - O - sh - u - n,a - d - a - | - r - O - sh - u - n,✅,
চিনি,ch - i - n - i,ch - i - n - i,ch - i - n - i,✅,
গুড়,g - u - r,g - u - r,g - u - r,✅,
ময়দা,m - o - y - d - a,m - o - y - d - a,m - o - y - d - a,✅,
কাক,k - a - k,k - a - k,k - a - k,✅,
কোকিল,k - O - k - i - l,k - O - k - i - l,k - O - k - i - l,✅,
চড়ুই,ch - O - r - u - i,ch - O - r - u - i,ch - O - r - u - i,✅,
শালিক,sh - a - l - i - k,sh - a - l - i - k,sh - a - l - i - k,✅,
ময়না,m - o - y - n - a,m - o - y - n - a,m - o - y - n - a,✅,
টিয়া,T - i - y - a,T - i - y - a,T - i - y - a,✅,
বাজপাখি,b - a - j - p - a - kh - i,b - a - j - p - a - kh - i,b - a - j - p - a - kh - i,✅,
পেঁচা,p - E~ - ch - a,p - E~ - ch - a,p - E~ - ch - a,✅,
হাঁস,h - a~ - sh,h - a~ - sh,h - a~ - sh,✅,
সিংহ,sh - i - ng - h,sh - i - ng - h - O,sh - i - ng - h - O,❌,
হরিণ,h - O - r - i - n,h - O - r - i - n,h - O - r - i - n,✅,
বানর,b - a - n - O - r,b - a - n - O - r,b - a - n - O - r,✅,
শিয়াল,sh - i - y - a - l,sh - i - y - a - l,sh - i - y - a - l,✅,
ভালুক,bh - a - l - u - k,bh - a - l - u - k,bh - a - l - u - k,✅,
জিরাফ,j - i - r - a - ph,j - i - r - a - ph,j - i - r - a - ph,✅,
জেব্রা,j - E - br - a,j - e - br - a,j - e - br - a,❌,
নেকড়ে,n - e - k - r - e,n - e - k - r - e,n - e - k - r - e,✅,
কাঠবিড়ালি,k - a - Th - b - i - r - a - l - i,k - a - Th - b - i - r - a - l - i,k - a - Th - b - i - r - a - l - i,✅,
দোলনা,d - O - l - n - a,d - O - l - n - a,d - O - l - n - a,✅,
আলনা,a - l - n - a,a - l - n - a,a - l - n - a,✅,
জানালার পর্দা,j - a - n - a - l - a - r - | - p - o - r - d - a,j - a - n - a - l - a - r - | - p - o - r - d - a,j - a - n - a - l - a - r - | - p - o - r - d - a,✅,
শেলফ,sh - E - l - o - ph,sh - e - l - ph,sh - e - l - ph,❌,
ড্রয়ার,D - r - o - y - a - r,D - r - o - y - a - r,D - r - o - y - a - r,✅,
ওয়ারড্রোব,O - y - a - r - D - r - O - b,O - y - a - r - D - r - O - b,O - y - a - r - D - r - O - b,✅,
স্ট্যান্ড,s - T - A - n - D - O,s - T - A - n - d,s - T - A - n - d,❌,
লুঙ্গি,l - u - ngg - i,l - u - ngg - i,l - u - ngg - i,✅,
গামছা,g - a - m - chh - a,g - a - m - chh - a,g - a - m - chh - a,✅,
ওড়না,O - r - n - a,O - r - n - a,O - r - n - a,✅,
হিজাব,h - i - j - a - b,h - i - j - a - b,h - i - j - a - b,✅,
মোজা,m - O - j - a,m - O - j - a,m - O - j - a,✅,
চশমা,ch - o - sh - m - a,ch - o - sh - m - a,ch - o - sh - m - a,✅,
জ্বর আসা,j - o - r - | - a - sh - a,j - o - r - | - a - sh - a,j - o - r - | - a - sh - a,✅,
মাথা ঘোরা,m - a - th - a - | - gh - O - r - a,m - a - th - a - | - gh - O - r - a,m - a - th - a - | - gh - O - r - a,✅,
বমি বমি ভাব,b - O - m - i - | - b - O - m - i - | - bh - a - b,b - O - m - i - | - b - O - m - i - | - bh - a - b,b - O - m - i - | - b - O - m - i - | - bh - a - b,✅,
দুর্বলতা,d - u - r - b - l - t - a,d - u - r - b - o - l - O - t - a,d - u - r - b - o - l - O - t - a,❌,
অস্থিরতা,o - sth - i - r - t - a,o - sth - i - r - o - t - a,o - sth - i - r - o - t - a,❌,
শ্বাসকষ্ট,sh - a - sh - k - o - shT - O,sh - a - sh - k - o - shT - O,sh - a - sh - k - o - shT - O,✅,
অনিদ্রা,o - n - i - d - r - a,o - n - i - d - r - a,o - n - i - d - r - a,✅,
ক্ষুধামন্দা,kkh - u - dh - a - m - nd - a,kkh - u - dh - a - m - o - nd - a,kkh - u - dh - a - m - o - nd - a,❌,
চুলকানি,ch - u - l - k - a - n - i,ch - u - l - k - a - n - i,ch - u - l - k - a - n - i,✅,
ফোলা,ph - O - l - a,ph - O - l - a,ph - O - l - a,✅,
উদ্বেগ,u - dw - e - g,u - dw - e - g,u - dw - e - g,✅,
স্বস্তি,sh - o - st - i,sh - O - st - i,sh - O - st - i,❌,
আত্মবিশ্বাস,a - t - t - b - i - sh - sh - a - sh,a - t - t - O - b - i - sh - sh - a - sh,a - t - t - O - b - i - sh - sh - a - sh,❌,
একাকীত্ব,e - k - a - k - i - tw - O,E - k - a - k - i - tw - O,E - k - a - k - i - tw - O,❌,
কৌতূহল,k - ou - t - u - h - o - l,k - ou - t - u - h - o - l,k - ou - t - u - h - o - l,✅,
শান্তি,sh - a - nt - i,sh - a - nt - i,sh - a - nt - i,✅,
প্রশান্তি,pr - o - sh - a - nt - i,pr - O - sh - a - nt - i,pr - O - sh - a - nt - i,❌,
যোগ,j - O - g,j - O - g,j - O - g,✅,
বিয়োগ,b - i - y - O - g,b - i - y - O - g,b - i - y - O - g,✅,
গুণ,g - u - n,g - u - n,g - u - n,✅,
ভাগ,bh - a - g,bh - a - g,bh - a - g,✅,
শতাংশ,sh - o - t - a - ng - sh,sh - o - t - a - ng - sh - O,sh - o - t - a - ng - sh - O,❌,
গড়,g - o - r,g - o - r,g - o - r,✅,
পরিমাপ,p - O - r - i - m - a - p,p - O - r - i - m - a - p,p - O - r - i - m - a - p,✅,
আয়তন,a - y - t - O - n,a - y - O - t - O - n,a - y - O - t - O - n,❌,
দূরত্ব,d - u - r - o - tw - O,d - u - r - O - tw - O,d - u - r - O - tw - O,❌,
গোল,g - O - l,g - O - l,g - O - l,✅,
খেলোয়াড়,kh - e - l - O - y - a - r,kh - E - l - O - y - a - r,kh - E - l - O - y - a - r,❌,
প্রতিযোগিতা,pr - o - t - i - j - O - g - i - t - a,pr - O - t - i - j - O - g - i - t - a,pr - O - t - i - j - O - g - i - t - a,❌,
চ্যাম্পিয়ন,ch - A - mp - i - y - o - n,ch - A - mp - i - y - o - n,ch - A - mp - i - y - o - n,✅,
পয়েন্ট,p - O - y - e - n - T - O,p - o - y - e - n - T,p - o - y - e - n - T,❌,
প্রশিক্ষক,pr - o - sh - i - kkh - o - k,pr - O - sh - i - kkh - o - k,pr - O - sh - i - kkh - o - k,❌,
মাঠ,m - a - Th,m - a - Th,m - a - Th,✅,
টুর্নামেন্ট,T - u - r - n - a - m - e - n - T - O,T - u - r - n - a - m - e - n - T,T - u - r - n - a - m - e - n - T,❌,
সুর,sh - u - r,sh - u - r,sh - u - r,✅,
তাল,t - a - l,t - a - l,t - a - l,✅,
গায়ক,g - a - y - o - k,g - a - y - o - k,g - a - y - o - k,✅,
গায়িকা,g - a - y - i - k - a,g - a - y - i - k - a,g - a - y - i - k - a,✅,
বাদ্যযন্ত্র,b - a - d - d - j - o - n - t - r - O,b - a - d - d - O - j - o - n - t - r - O,b - a - d - d - O - j - o - n - t - r - O,❌,
সংগীতশিল্পী,sh - O - ng - g - i - t - sh - i - l - p - i,sh - O - ng - g - i - t - sh - i - l - p - i,sh - O - ng - g - i - t - sh - i - l - p - i,✅,
অর্কেস্ট্রা,o - r - k - e - sh - T - r - a,o - r - k - e - s - T - r - a,o - r - k - e - s - T - r - a,❌,
কনসার্ট,k - o - n - sh - a - r - T - O,k - o - n - s - a - r - T,k - o - n - s - a - r - T,❌,
ধীরে ধীরে,dh - i - r - e - | - dh - i - r - e,dh - i - r - e - | - dh - i - r - e,dh - i - r - e - | - dh - i - r - e,✅,
হঠাৎ,h - o - Th - a - t,h - o - Th - a - t,h - o - Th - a - t,✅,
সবসময়,sh - o - b - sh - m - o - y,sh - o - b - sh - o - m - o - y,sh - o - b - sh - o - m - o - y,❌,
কখনো কখনো,k - o - kh - n - O - | - k - o - kh - n - O,k - o - kh - O - n - O - | - k - o - kh - O - n - O,k - o - kh - O - n - O - | - k - o - kh - O - n - O,❌,
প্রায়,pr - a - y,pr - a - y,pr - a - y,✅,
একেবারে,e - k - e - b - a - r - e,E - k - e - b - a - r - e,E - k - e - b - a - r - e,❌,
সত্যিই,sh - O - t - t - i - i,sh - O - t - t - i - i,sh - O - t - t - i - i,✅,
নিশ্চয়ই,n - i - sh - ch - y - O - i,n - i - sh - ch - y - O - i,n - i - sh - ch - y - O - i,✅,
হয়তো,h - o - y - t - O,h - o - y - t - O,h - o - y - t - O,✅,
অবশেষে,o - b - sh - e - sh - e,o - b - O - sh - e - sh - e,o - b - O - sh - e - sh - e,❌,
যদিও,j - O - d - i - O,j - O - d - i - O,j - O - d - i - O,✅,
তবুও,t - O - b - u - O,t - O - b - u - O,t - O - b - u - O,✅,
অতএব,o - t - e - b,o - t - O - e - b,o - t - O - e - b,❌,
সুতরাং,sh - u - t - r - a - ng,sh - u - t - O - r - a - ng,sh - u - t - O - r - a - ng,❌,
বরং,b - o - r - ng,b - o - r - O - ng,b - o - r - O - ng,❌,
অন্যথায়,o - n - n - th - a - y,o - n - n - O - th - a - y,o - n - n - O - th - a - y,❌,
ফলে,ph - O - l - e,ph - o - l - e,ph - o - l - e,❌,
অথচ,o - th - o - ch,o - th - O - ch - O,o - th - O - ch - O,❌,
গোলাপি,g - O - l - a - p - i,g - O - l - a - p - i,g - O - l - a - p - i,✅,
বেগুনি রং,b - e - g - u - n - i - | - r - O - ng,b - e - g - u - n - i - | - r - O - ng,b - e - g - u - n - i - | - r - O - ng,✅,
আকাশি,a - k - a - sh - i,a - k - a - sh - i,a - k - a - sh - i,✅,
ধূসর,dh - u - sh - o - r,dh - u - sh - o - r,dh - u - sh - o - r,✅,
সোনালি,sh - O - n - a - l - i,sh - O - n - a - l - i,sh - O - n - a - l - i,✅,
রূপালি,r - u - p - a - l - i,r - u - p - a - l - i,r - u - p - a - l - i,✅,
কমলা রং,k - o - m - l - a - | - r - O - ng,k - o - m - l - a - | - r - O - ng,k - o - m - l - a - | - r - O - ng,✅,
হালকা নীল,h - a - l - k - a - | - n - i - l,h - a - l - k - a - | - n - i - l,h - a - l - k - a - | - n - i - l,✅,
শ্বশুরবাড়ি,sh - o - sh - u - r - b - a - r - i,sh - O - sh - u - r - b - a - r - i,sh - O - sh - u - r - b - a - r - i,❌,
জামাই,j - a - m - a - i,j - a - m - a - i,j - a - m - a - i,✅,
পুত্রবধূ,p - u - tr - b - dh - u,p - u - tr - O - b - O - dh - u,p - u - tr - O - b - O - dh - u,❌,
নাতনি,n - a - t - n - i,n - a - t - n - i,n - a - t - n - i,✅,
বৈমাত্রেয়,b - oi - m - a - tr - e - y,b - oi - m - a - tr - e - y - O,b - oi - m - a - tr - e - y - O,❌,
সৎভাই,sh - o - t - bh - a - i,sh - o - t - bh - a - i,sh - o - t - bh - a - i,✅,
সৎবোন,sh - o - t - b - O - n,sh - o - t - b - O - n,sh - o - t - b - O - n,✅,
মাথা নাড়া,m - a - th - a - | - n - a - r - a,m - a - th - a - | - n - a - r - a,m - a - th - a - | - n - a - r - a,✅,
হাত নাড়া,h - a - t - | - n - a - r - a,h - a - t - | - n - a - r - a,h - a - t - | - n - a - r - a,✅,
চোখ মারা,ch - O - kh - | - m - a - r - a,ch - O - kh - | - m - a - r - a,ch - O - kh - | - m - a - r - a,✅,
কাঁধ ঝাঁকানো,k - a~ - dh - | - jh - a~ - k - a - n - O,k - a~ - dh - | - jh - a~ - k - a - n - O,k - a~ - dh - | - jh - a~ - k - a - n - O,✅,
আঙুল দেখানো,a - ng - u - l - | - d - e - kh - a - n - O,a - ng - u - l - | - d - e - kh - a - n - O,a - ng - u - l - | - d - e - kh - a - n - O,✅,
মাথা নত করা,m - a - th - a - | - n - o - t - | - k - o - r - a,m - a - th - a - | - n - o - t - O - | - k - o - r - a,m - a - th - a - | - n - o - t - O - | - k - o - r - a,❌,
আইনজীবী,a - i - n - j - i - b - i,a - i - n - j - i - b - i,a - i - n - j - i - b - i,✅,
বিচারপতি,b - i - ch - a - r - p - t - i,b - i - ch - a - r - p - O - t - i,b - i - ch - a - r - p - O - t - i,❌,
সাক্ষী,sh - a - kkh - i,sh - a - kkh - i,sh - a - kkh - i,✅,
অভিযোগ,o - bh - i - j - O - g,o - bh - i - j - O - g,o - bh - i - j - O - g,✅,
জামিন,j - a - m - i - n,j - a - m - i - n,j - a - m - i - n,✅,
চুক্তি,ch - u - kt - i,ch - u - kt - i,ch - u - kt - i,✅,
লাইসেন্স,l - a - i - sh - e - n - sh - O,l - a - i - s - e - n - s,l - a - i - s - e - n - s,❌,
পরিচয়পত্র,p - O - r - i - ch - y - p - O - tr - O,p - O - r - i - ch - o - y - p - o - tr - O,p - O - r - i - ch - o - y - p - o - tr - O,❌,
ঝুড়ি,jh - u - r - i,jh - u - r - i,jh - u - r - i,✅,
বোতল,b - O - t - o - l,b - O - t - O - l,b - O - t - O - l,❌,
কৌটা,k - ou - T - a,k - ou - T - a,k - ou - T - a,✅,
ছাতা,chh - a - t - a,chh - a - t - a,chh - a - t - a,✅,
মোমবাতি,m - O - m - b - a - t - i,m - O - m - b - a - t - i,m - O - m - b - a - t - i,✅,
দেশলাই,d - e - sh - l - a - i,d - e - sh - l - a - i,d - e - sh - l - a - i,✅,
টর্চলাইট,T - o - r - ch - l - a - i - T,T - o - r - ch - l - a - i - T,T - o - r - ch - l - a - i - T,✅,
ব্যাটারি,b - A - T - a - r - i,b - A - T - a - r - i,b - A - T - a - r - i,✅,
তালা,t - a - l - a,t - a - l - a,t - a - l - a,✅,
সমভূমি,sh - o - m - bh - u - m - i,sh - o - m - O - bh - u - m - i,sh - o - m - O - bh - u - m - i,❌,
পর্বতমালা,p - o - r - b - t - m - a - l - a,p - o - r - b - O - t - m - a - l - a,p - o - r - b - O - t - m - a - l - a,❌,
হিমবাহ,h - i - m - b - a - h,h - i - m - b - a - h - O,h - i - m - b - a - h - O,❌,
অববাহিকা,o - b - b - a - h - i - k - a,o - b - O - b - a - h - i - k - a,o - b - O - b - a - h - i - k - a,❌,
বদ্বীপ,b - O - dw - i - p,b - o - dw - i - p,b - o - dw - i - p,❌,
